first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
sédneridre,sédneridre,pprs,rid,séd_ne,re,sédneridre,control,s,0.0,1,e,i,sédneridri,0,10,pseudo
vurdiot,vurdiot,pr,diot,sur,,surdiot,target,p,0.0,0,s,v,vurdiot,2,7,pseudo
rusnerauj,rusnenauj,ppr,nauj,rus_ne,,rusnenauj,control,r,,0,n,r,rusnerauj,3,9,pseudo
nifodalbe,nifodalbe,prs,fod,ni,albe,nifodalbe,control,s,0.0,2,b,h,nifodalhe,0,9,pseudo
lat,lat,r,las,,,las,control,r,,2,s,t,lat,2,3,pseudo
incamalité,incamalité,prss,cam,in,al_ité,incamalité,target,p,0.0,0,i,é,éncamalité,0,10,pseudo
désenfilen,désenfiler,pprs,fil,dés_en,er,désenfiler,target,s,0.0,1,r,n,désenfilen,3,10,pseudo
trocmi,trocni,rs,troc,,ni,trocni,control,s,0.0,0,n,m,trocmi,3,6,pseudo
déjaunagu,déjaunage,prs,jaun,dé,age,déjaunage,target,s,0.0,2,e,u,déjaunagu,3,9,pseudo
préducam,préducam,ppr,cam,pré_dé,,prédécam,target,p,1.0,1,é,u,préducam,2,8,pseudo
tioclotié,tioclotié,rss,tioc,,la_tié,tioclatié,control,s,0.0,1,a,o,tioclotié,2,9,pseudo
unsalivité,insalivité,prss,sal,in,iv_ité,insalivité,target,p,0.0,0,i,u,unsalivité,3,10,pseudo
surjaun,surjaun,pr,jaun,sur,,surjaun,target,p,0.0,0,s,t,turjaun,0,7,pseudo
léus,léus,r,léut,,,léut,control,r,,3,t,s,léus,2,4,pseudo
désendofer,désendofel,pprs,dof,dés_en,er,désendofer,target,s,0.0,1,r,l,désendofel,1,10,pseudo
tert,tent,r,tert,,,tert,target,r,,2,r,n,tent,1,4,pseudo
gieranité,gieranité,rss,gier,,al_ité,gieralité,target,s,0.0,1,l,n,gieranité,2,9,pseudo
erpelmtan,erpelmten,prs,pelm,er,tan,erpelmtan,control,s,0.0,1,a,e,erpelmten,1,9,pseudo
prérecert,prérecurt,ppr,cert,pré_re,,prérecert,target,r,,1,e,u,prérecurt,1,9,pseudo
annvért,annvért,pr,vért,onn,,onnvért,control,p,0.0,0,o,a,annvért,2,7,pseudo
pelmja,pelmla,rs,pelm,,la,pelmla,control,s,0.0,0,l,j,pelmja,3,6,pseudo
rudofation,rudofation,prss,dof,re,at_ion,redofation,target,p,0.0,1,e,u,rudofation,2,10,pseudo
nirujlatié,nirujlatié,prss,ruj,ni,la_tié,nirujlatié,control,p,0.0,0,n,l,lirujlatié,0,10,pseudo
insanude,insanede,prs,san,in,ude,insanude,target,s,0.0,0,u,e,insanede,1,8,pseudo
filiste,siliste,rs,fil,,iste,filiste,target,r,,0,f,s,siliste,1,7,pseudo
dron,dron,r,tron,,,tron,target,r,,0,t,d,dron,2,4,pseudo
nonlém,nonlém,pr,lém,non,,nonlém,target,p,0.0,1,o,i,ninlém,0,6,pseudo
eredtioc,erédtioc,ppr,tioc,er_éd,,erédtioc,control,p,1.0,0,é,e,eredtioc,3,8,pseudo
tuélalité,tuélalité,rss,tuél,,al_ité,tuélalité,target,s,0.0,1,l,n,tuélanité,0,9,pseudo
arédmaceag,erédmaceag,pprs,mac,er_éd,eag,erédmaceag,control,p,0.0,0,e,a,arédmaceag,3,10,pseudo
