first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
hrampoline,trampoline,r,trampoline,,,trampoline,control,r,,0,t,h,hrampoline,3,10,real,block2
gayer,gayer,rs,gay,,er,gayer,target,r,,0,g,t,tayer,0,5,real,block2
district,disfrict,r,district,,,district,control,r,,3,t,f,disfrict,1,8,real,block2
sitthly,sitthly,rss,six,,th_ly,sixthly,target,r,,2,x,t,sitthly,2,7,real,block2
salmonella,salmonella,r,salmonella,,,salmonella,control,r,,6,e,o,salmonolla,0,10,real,block2
decodar,decoder,prs,cod,de,er,decoder,target,s,0.0,0,e,a,decodar,3,7,real,block2
pirnacle,pirnacle,r,pinnacle,,,pinnacle,control,r,,2,n,r,pirnacle,2,8,real,block2
ceremeny,ceremeny,r,ceremony,,,ceremony,control,r,,5,o,e,ceremeny,2,8,real,block2
principle,prenciple,r,principle,,,principle,control,r,,2,i,e,prenciple,1,9,real,block2
sexust,sexust,rs,sex,,ist,sexist,target,s,0.0,0,i,u,sexust,2,6,real,block2
couple,couple,r,couple,,,couple,control,r,,2,u,a,coaple,0,6,real,block2
unwesely,unwisely,prs,wise,un,ly,unwisely,target,r,,1,i,e,unwesely,3,8,real,block2
architect,archetect,r,architect,,,architect,control,r,,4,i,e,archetect,1,9,real,block2
ketically,kehically,rsss,ket,,ic_al_ly,ketically,target,r,,2,t,h,kehically,1,9,pseudo,block3
neilnemt,neilnemt,rs,neil,,nemt,neilnemt,control,s,0.0,0,n,m,neilmemt,0,8,pseudo,block3
outfob,oetfob,pr,fob,out,,outfob,target,p,0.0,1,u,e,oetfob,1,6,pseudo,block3
reincot,reincet,ppr,cet,re_in,,reincet,target,r,,1,e,o,reincot,3,7,pseudo,block3
mofnomtla,mofnomtla,rss,mof,,nemt_la,mofnemtla,control,s,0.0,1,e,o,mofnomtla,2,9,pseudo,block3
clatance,clatence,rs,clat,,ance,clatance,target,s,0.0,0,a,e,clatence,1,8,pseudo,block3
girtalyy,girtally,rss,girt,,al_ly,girtally,target,s,1.0,0,l,y,girtalyy,3,8,pseudo,block3
nurtly,nurtmy,rs,nurt,,ly,nurtly,target,s,0.0,0,l,m,nurtmy,1,6,pseudo,block3
ergeneviyl,ergeneviyl,prss,gen,er,evi_yl,ergeneviyl,control,s,1.0,0,y,l,ergenevill,0,10,pseudo,block3
negious,negiout,rs,neg,,ious,negious,target,s,0.0,3,s,t,negiout,1,7,pseudo,block3
uncontalll,uncontally,prss,cont,un,al_ly,uncontally,target,s,1.0,1,y,l,uncontalll,3,10,pseudo,block3
repsimnoc,rapsimnoc,ppr,noc,rep_sim,,repsimnoc,control,p,0.0,1,e,a,rapsimnoc,1,9,pseudo,block3
abheamally,abkeamally,prss,keam,ab,al_ly,abkeamally,target,r,,0,k,h,abheamally,3,10,pseudo,block3
ditsoom,ditsoom,pr,soom,dis,,dissoom,target,p,0.0,2,s,t,ditsoom,2,7,pseudo,block3
nautsit,nautsit,rs,naut,,sit,nautsit,control,r,,1,a,o,noutsit,0,7,pseudo,block3
kelslinets,kelsliness,rss,kels,,li_ness,kelsliness,target,s,1.0,2,s,t,kelslinets,3,10,pseudo,block3
discet,discet,pr,cet,dis,,discet,target,r,,1,e,i,discit,0,6,pseudo,block3
redepon,redepon,ppr,con,re_de,,redecon,target,r,,0,c,p,redepon,2,7,pseudo,block3
